S/N,APPLICANT NAME,CERTIFICATE HOLDER,EQUIPMENT NAME,MODELS,MANUFACTURER
1098,MALATA MOBILE TECHNOLOGY LIMITED,MALATA MOBILE TECHNOLOGY LIMITED,MOBILE PHONE,MAX4,"SHENZHEN MALATA MOBILE COMMUNICATION CO., LTD"
1099,MALATA MOBILE TECHNOLOGY LIMITED,MALATA MOBILE TECHNOLOGY LIMITED,MOBILE PHONE,MAX5,"SHENZHEN MALATA MOBILE COMMUNICATION CO., LTD"
1100,MALATA MOBILE TECHNOLOGY LIMITED,MALATA MOBILE TECHNOLOGY LIMITED,MOBILE PHONES,"N400, N351(AQUARIS3.5, FNAC3.5), 111(AQUARIS4.0, FNAC4.0), S501(MEDIACOM 501)","SHENZHEN MALATA MOBILE COMMUNICATION CO., LTD"
1101,MALATA MOBILE TECHNOLOGY LIMITED,MALATA MOBILE TECHNOLOGY LIMITED,MOBILE PHONES,"N402, N501, S450","SHENZHEN MALATA MOBILE COMMUNICATION CO., LTD"
1102,MALATA MOBILE TECHNOLOGY LIMITED,MALATA MOBILE TECHNOLOGY LIMITED,MOBILE PHONES,N403,"SHENZHEN MALATA MOBILE COMMUNICATION CO., LTD"
1103,MALATA MOBILE TECHNOLOGY LIMITED,MALATA MOBILE TECHNOLOGY LIMITED,MALATA GSM MOBILE PHONE,S S500,"SHENZHEN MALATA MOBILE COMMUNICATION CO., LTD"
1104,MALATA MOBILE TECHNOLOGY LIMITED,MALATA MOBILE TECHNOLOGY LIMITED,MALATA GSM MOBILE PHONE,SHAKE 3,"SHENZHEN MALATA MOBILE COMMUNICATION CO., LTD"
1105,MANSALES NIGERIA LTD,MANSALES NIGERIA LTD,OUKITEL MOBILE PHONES,"C2, C3",SHENZHEN YUNJI INTELLIGENT TECHNOLOGY CO. LTD
1106,MANSALES NIGERIA LTD,MANSALES NIGERIA LTD,KONKA GSM SMART PHONE,I277,SHENZHEN KONKA TELECOMMUNICATIONS TECHNOLOGY CO. LTD
1107,MANSALES NIGERIA LTD,MANSALES NIGERIA LTD,KONKA GSM SMART PHONE,KONKA R2 (L570S ),"SHENZHAN KONKA TELECOMMUNICATIONS TECHNOLOGY CO. LTD, CHINA"
1108,MANSALES NIGERIA LTD,MANSALES NIGERIA LTD,KONKA GSM SMART PHONE,W550,"SHENZHAN KONKA TELECOMMUNICATIONS TECHNOLOGY CO. LTD, CHINA"
1109,MARA PHONES NIGERIA LIMITED,MARA PHONES NIGERIA LIMITED,MARA PHONES S,MARA PHONES S,MARA PHONES NIGERIA LIMITED
1110,MARA PHONES NIGERIA LIMITED,MARA PHONES NIGERIA LIMITED,MARA SMARTPHONE,MARA PHONES X1,MARA PHONES NIGERIA LIMITED
1111,MARA PHONES NIGERIA LIMITED,MARA PHONES NIGERIA LIMITED,MARA SMARTPHONE,MARA PHONES Z1,MARA PHONES NIGERIA LIMITED
1112,MARA PHONES NIGERIA LIMITED,MARA PHONES NIGERIA LIMITED,MOBILE PHONES,MARA X | MARA Z,MARA CORPORATION LIMITED
1113,MARQ SIKYOR AFRICA,MARQ SIKYOR AFRICA,MOBILE PHONE,"NXT TECH SMART PHONE(H216), M5501","SHENZHEN HSEM TECHNOLOGY CO, LTD"
1114,MATIDEAS COMMUNICATIONS CONCEPT,MATIDEAS COMMUNICATIONS CONCEPT,HISENSE MOBILE PHONE,"U601S PRO, F24, T5 PLUS , U962",HISENSE INTERNATIONAL CO. LTD
1115,MATIDEAS COMMUNICATIONS CONCEPT LIMITED,MATIDEAS COMMUNICATIONS CONCEPT LIMITED,HISENSE F17 PRO MOBILE PHONE,HISENSE F17 PRO,HISENSE INTERNATIONAL CO. LTD
1116,Maxon,Maxon,Maxon Mobile Phones,MX 6826,Maxon
1117,MBO MOBILE TECHNOLOGY LTD,MBO MOBILE TECHNOLOGY LTD,MOBILE PHONE,"E2202, 8160",MBO MOBILE TECHNOLOGY LTD
1118,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-100,UMEOX MOBILE LIMITED
1119,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-200,UMEOX MOBILE LIMITED
1120,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-300,UMEOX MOBILE LIMITED
1121,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-350,"SHENZHEN SANMU COMMUNICATION TELECHNOLOGY CO., LIMITED"
1122,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-400,GUANGZHOU CK TELECOM LIMITED
1123,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-500,"SHENZHEN SANMU COMMUNICATION TELECHNOLOGY CO., LIMITED"
1124,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-530,"SHENZHEN MALATA MOBILE COMMUNICATION CO., LTD"
1125,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-600,GUANGZHOU CK TELECOM LIMITED
1126,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-700,GUANGZHOU CK TELECOM LIMITED
1127,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-800,GUANGZHOU CK TELECOM LIMITED
1128,MEA TELECOM LIMITED,MEA TELECOM LIMITED,ZEDD GSM PHONE,Z-810,GUANGZHOU CK TELECOM LIMITED
1129,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,FLY MOBILE PHONE,FLY IQ 4602,"G' FIVE MOBILE (SHENZHEN) CO., LTD."
1130,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,FLY MOBILE PHONE,FLY IQ 4507,FORTUNE SHIP TECHNOLOGY (HK) LIMITED
1131,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,FLY MOBILE PHONE,EZZY5,"ENJOY GROUP(HK) CO,LIMITED"
1132,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,GSM PHONE,FLY DUNE(FLY IQ4503),SPROCOMM TECHNOLOGIES CO. LIMITED
1133,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,FLY MOBILE PHONE(FEATURE PHONE),FLY FF241 (FLY RUNNER),"SPROCOMM TECHNOLOGIES CO., LTD"
1134,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,GSM PHONE,FLY HORIZON3(FLY IQ434),SHENZHEN KONKA TELECOMMUNICATIONS TECHNOLOGY CO. LTD
1135,Meridian Technologies Limited,Meridian Technologies Limited,FLY Mobile Phone,FLY IQ 4507,Fortune Ship Technology (HK) Limited
1136,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,FLY MOBILE PHONE,FLY IQ 4509(INTRUDER X8),BILLION WELL HOLDINGS LIMITED(HK)
1137,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,GSM PHONE,"FLY IQ4418 , FLY IQ4514",SHENZHEN KONKA TELECOMMUNICATIONS TECHNOLOGY CO. LTD
1138,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,FLY MOBILE PHONE,FLY IQ4508 (FLY DUNE 4),"SHENZHEN HUIYE COMMUNICATION TECHNOLOGY CO., LTD"
1139,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,FLY MOBILE PHONE,FLYIQ4490I (IRIS 2),SPROCOMM TECHNOLOGIES CO. LIMITED
1140,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,GSM PHONE,"IQ4415(THUNDER3), IRIS(IQ4400)",SHENZHEN KONKA TELECOMMUNICATIONS TECHNOLOGY CO. LTD
1141,MERIDIAN TECHNOLOGIES LIMITED,MERIDIAN TECHNOLOGIES LIMITED,GSM PHONE,"TS111(CHAT),  DS107D(EON)","SHENZHEN FORTUNE SHIP TECHNOLOGY CO., LTD"
1142,MICRO-SATATION LIMITED,MICRO-SATATION LIMITED,DUAL SIM GSM MOBILE PHONE,UR-A38,UNIRISE COMMUNICATION CO. LTD
1143,Microsoft Mobile Devices and Services,Microsoft Nigeria,Microsoft GSM Mobile Phone,Microsoft 350 DUAL SIM( RM-1182),Microsoft Mobile Oy
1144,MICROSOFT MOBILE DEVICES AND SERVICES,MICROSOFT MOBILE DEVICES AND SERVICES,MICROSOFT LUMIA 230 DUAL SIM,MICROSOFT LUMIA 230 (RM-1172),MICROSOFT MOBILE OY
1145,MICROSOFT MOBILE DEVICES AND SERVICES,MICROSOFT MOBILE DEVICES AND SERVICES,MICROSOFT LUMIA GSM MOBILE PHONE,MICROSOFT LUMIA 550 (RM-1127),MICROSOFT MOBILE OY
