S/N,APPLICANT NAME,CERTIFICATE HOLDER,EQUIPMENT NAME,MODELS,MANUFACTURER
5235,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,ZEBRA TECHNOLOGIES CORPORATION,THERMAL BARCODE PRINTER,ZD411,ZEBRA TECHNOLOGIES CORPORATION
5236,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,ZEBRA TECHNOLOGIES CORPORATION,THERMAL BARCODE PRINTER,ZD611,ZEBRA TECHNOLOGIES CORPORATION
5237,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"BAOLONG HUF SHANGHAI ELECTRONICS CO., LTD.",TPMS-SENSOR,TPM-D PRO-L,"BAOLONG HUF SHANGHAI ELECTRONICS CO., LTD."
5238,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"CITRIX SYSTEMS, INC.","NETWORKING DEVICE WITH WIFI, WCDMA, AND LTE MODULES",SD-WAN 110-LTE-WIFI,"CITRIX SYSTEMS, INC."
5239,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"CITRIX SYSTEMS, INC.",NETWORKING DEVICE WITH WI-FI MODULE,SD-WAN 110-WIFI,"CITRIX SYSTEMS, INC."
5240,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,CONTINENTAL AUTOMOTIVE GMBH,AUTOMOTIVE INFOTAINMENT SYSTEM,NTG7 HIGH LFT2,CONTINENTAL AUTOMOTIVE GMBH
5241,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,CONTINENTAL AUTOMOTIVE GMBH,AUTOMOTIVE INFOTAINMENT SYSTEM,NTG7 MID LFT2,CONTINENTAL AUTOMOTIVE GMBH
5242,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,CONTINENTAL AUTOMOTIVE GMBH,AUTOMOTIVE INFOTAINMENT SYSTEM,NTG7 PREMIUM LFT2,CONTINENTAL AUTOMOTIVE GMBH
5243,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,CONTINENTAL AUTOMOTIVE GMBH,AUTOMOTIVE INFOTAINMENT SYSTEM,NTG7 PREMIUMPLUS LFT2,CONTINENTAL AUTOMOTIVE GMBH
5244,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,CONTINENTAL AUTOMOTIVE GMBH,PEPS,PEPS ECU,CONTINENTAL AUTOMOTIVE GMBH
5245,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,CONTINENTAL AUTOMOTIVE GMBH,FOB,PEPS FOB,CONTINENTAL AUTOMOTIVE GMBH
5246,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,DELL INC.,PORTABLE COMPUTER,P90F/VOSTRO 3500,DELL INC.
5247,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"DENSO INTERNATIONAL AMERICA, INC.",PASSIVE ENTRY PASSIVE START SYSTEM (LF TRANSMITTER AND LF TRANSCEIVER),B1NA5,"DENSO INTERNATIONAL AMERICA, INC."
5248,Resonance Compliance International Limited,Fibocom Wireless Inc,LTE Wireless Module,L860-GL,Fibocom Wireless Inc
5249,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"FITBIT, INC.",WIRELESS ACTIVITY TRACKER,FB418,"FITBIT, INC."
5250,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"GUANGZHOU SHIRUI ELECTRONICS CO., LTD.",MONITOR (INTERACTIVE DIGITAL BOARD),55TR3BG-B,"GUANGZHOU SHIRUI ELECTRONICS CO., LTD."
5251,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,HARMAN AUTOMOTIVE SYSTEMS GMBH,GPS RECEIVER EXTENSION UNIT,HM EXTENSION UNIT,HARMAN AUTOMOTIVE SYSTEMS GMBH
5252,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,INTEL CORPORATION SAS,INTELï¿½ï¿½ï¿½ï¿½ï¿½,AX211D2W,INTEL CORPORATION SAS
5253,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,L.G ELECTRONICS INC.,CAR AVN,LAN5910WR,L.G ELECTRONICS INC.
5254,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,L.G ELECTRONICS INC.,RF MODULE,LGSBWAC95,L.G ELECTRONICS INC.
5255,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LENOVO (BEIJING) LIMITED,WIRELESS MOUSE,L530-A,LENOVO (BEIJING) LIMITED
5256,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LENOVO (BEIJING) LIMITED,WIRELESS RECEIVER,RG51-6108,LENOVO (BEIJING) LIMITED
5257,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LENOVO PC HK LIMITED,NOTEBOOK COMPUTER,THINKPAD X1 FOLD GEN 1 (TP00122A),LENOVO PC HK LIMITED
5258,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC101,49UN711C0GA,LG ELECTRONICS INC.
5259,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC95,55NANO86VPA,LG ELECTRONICS INC.
5260,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,TV RECEIVER WITH RF MODULE LGSBWAC92,55NANO95VNA,LG ELECTRONICS INC.
5261,Resonance Compliance International Limited,LG Electronics Inc.,TV Receiver with RF Module LGSBWAC92,55NANO95VNA,LG Electronics Inc.
5262,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC96,55UN711C0GA,LG ELECTRONICS INC.
5263,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,MONITOR SIGNAGE WITH RF MODULE LGSBWAC72,65UH5F,LG ELECTRONICS INC.
5264,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC103,65UN711C0GA,LG ELECTRONICS INC.
5265,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC104,75NANO85VPA,LG ELECTRONICS INC.
5266,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC97,86NANO85VPA,LG ELECTRONICS INC.
5267,Resonance Compliance International Limited,LG Electronics Inc.,LED TV Receiver with RF Module LGSBWAC97,86NANO85VPA,LG Electronics Inc.
5268,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,CAR NAVIGATION SYSTEM,GEN6 JK ROC,LG ELECTRONICS INC.
5269,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,CAR AVN,LAN5900WR,LG ELECTRONICS INC.
5270,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,RF MODULE,LGSBWAC03,LG ELECTRONICS INC.
5271,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,RF MODULE,LGSBWAX12,LG ELECTRONICS INC.
5272,Resonance Compliance International Limited,LG Electronics Inc.,RF Module,LGSWFAC81,LG Electronics Inc.
5273,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC98,OLED55C1PVA,LG ELECTRONICS INC.
5274,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC100,OLED55C1PVB,LG ELECTRONICS INC.
5275,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC102,OLED65C1PVA,LG ELECTRONICS INC.
5276,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,OLED TV RECEIVER WITH RF MODULE LGSBWAC95,OLED65C1PVB,LG ELECTRONICS INC.
5277,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG ELECTRONICS INC.,LED TV RECEIVER WITH RF MODULE LGSBWAC99,OLED77C1PVB,LG ELECTRONICS INC.
5278,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,MMD HONG KONG HOLDING LIMITED,BLUETOOTH EARPHONE,TAT1215,MMD HONG KONG HOLDING LIMITED
5279,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,REMOTEK CORPORATION,MULTI BAND ICS REPEATER,R84FLI-G918W21L8,REMOTEK CORPORATION
5280,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,ROBERT BOSCH CAR MULTIMEDIA GMBH,RADIO NAVIGATION,AIVIP32R0,ROBERT BOSCH CAR MULTIMEDIA GMBH
5281,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,ROBERT BOSCH GMBH,BCM (BODY COMPUTER MODULE),BR21,ROBERT BOSCH GMBH
5282,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"SAMSUNG ELECTRONICS CO., LTD.",WEARABLE DEVICE,SM-R220,"SAMSUNG ELECTRONICS CO., LTD."
5283,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"SHENZHEN QIANFENYI INTELLIGENT TECHNOLOGY CO., LTD",ACTIVE STYLUS,ACTIVE STYLUS SA201H,"SHENZHEN QIANFENYI INTELLIGENT TECHNOLOGY CO., LTD"
5284,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,XAC AUTOMATION CORPORATION,TERMINAL PAYMENT DEVICE,XCL_AT-150-R,XAC AUTOMATION CORPORATION
5285,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,"YANFENG VISTEON AUTOMOTIVE ELECTRONICS CO.,LTD.",CAR RADIO WITH BLUETOOTH MODULE,R013 PH2-1DIN,"YANFENG VISTEON AUTOMOTIVE ELECTRONICS CO.,LTD."
5286,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,LED TV with RF Module LGSBWAC95,86UR91006LB,LG Electronics Inc.
5287,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,LED TV with RF Module LGSBWAC95,86QNED816RA,LG Electronics Inc.
5288,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Logitech Europe S.A,Wireless Mouse,MR0105,Logitech Europe S.A.
5289,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Logitech Europe S.A,Wireless Mouse,MR0103,Logitech Europe S.A.
5290,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,BizLink International Corp.,Vscan Air Charger,GP200304,"BizLink (Kunshan) Co., Ltd"
5291,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,OLED TV with RF Module LGSBWAC95,OLED48C36LA,LG Electronics Inc.
5292,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,OLED TV with RF Module LGSBWAX12,OLED77G36LA,LG Electronics Inc.
5293,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,OLED TV with RF Module LGSBWAC95,OLED55C36LA,LG Electronics Inc.
5294,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,OLED TV with RF Module LGSBWAC95,OLED77C36LA,LG Electronics Inc.
5295,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,OLED TV with RF Module LGSBWAC95,OLED65C36LA,LG Electronics Inc.
5296,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,OLED TV with RF Module LGSBWAC95,OLED83C36LA,LG Electronics Inc.
5297,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,PORTABLE BLUETOOTH SPEAKER with RF Module MB3021,XL5S,LG Electronics Inc.
5298,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,PORTABLE BLUETOOTH SPEAKER with RF Module MB3021,XL7S,LG Electronics Inc.
5299,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Logitech Europe S.A,Wireless Headset,A00178,Logitech Europe S.A
5300,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,ITT Goulds Pumps Inc.,Sensor with Bluetooth function,i-ALERT3,ITT Goulds Pumps Inc.
5301,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Logitech Europe S.A,Wireless Dongle,A00179,Logitech Europe S.A
5302,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Robert Bosch GmbH,Central In-Vehicle Infotainment Computer,MBCI2LS4PR1,Robert Bosch GmbH
5303,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,WIRELESS ACTIVE SUBWOOFER with RF Module WL1BKR22,SPQ2-W,LG Electronics Inc.
5304,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,WIRELESS SOUND BAR with RF Module MB8811C1 and WL1BKT22,SQC2,LG Electronics Inc.
5305,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Dell Inc.,Desktop Computer,D17S (Inspiron 3020 S),DELL Inc.
5306,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Harman Becker Automotive Systems GmbH,Telematic control unit with wireless technologies,TKCMOD11000,Harman Becker Automotive Systems GmbH
5307,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,MULTI FUNCTION PRINTER,C622C (L5590),Seiko Epson Corporation
5308,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,SEIKO EPSON CORPORATION,MULTI-FUNCTION PRINTER with Ethernet port,C642D (WF-C5890),SEIKO EPSON CORPORATION
5309,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,Dish washer with RF Module LCW-007,DFC532FP,LG Electronics Inc.
5310,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,Monitor Signage with RF Module LGSBWAC92,55UH7J,LG Electronics Inc.
5311,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,Monitor Signage with RF Module LGSBWAC92,49UH7J,LG Electronics Inc.
5312,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,Monitor Signage with RF Module LGSBWAC92,65UH7J,LG Electronics Inc.
5313,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Dell Inc.,Portable Computer,P154G / Precision 5480,Dell Inc.
5314,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Dell Inc.,Portable Computer,P121F / Dell G15 5535,Dell Inc.
5315,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,Dell Inc.,Portable Computer,P121F / Dell G15 5530,Dell Inc.
5316,RESONANCE COMPLIANCE INTERNATIONAL LIMITED,LG Electronics Inc.,Tumble dryers (Clothes Gas Dryers) with RF Module LCW-007,CDT29MSQPS,LG Electronics Inc.
